reviewId,userName,content,score,at,word_count,text_bertopic,text_nb_lr,topic_id,aspek,sentimen,confidence_roberta,label_source
7de5b69c-0699-4fee-8005-066f64d1eecc,Rico Prasanda,jangan gunakan Gemini aku sedang tanya saat ini malah respon lambat mohon diperbaiki 😡😡😡 laporkan aplikasi ini jika ta bisa digunakan,1,2026-07-28 07:19:32,21,jangan gunakan gemini aku sedang tanya saat ini malah respon lambat mohon diperbaiki laporkan aplikasi ini jika ta bisa digunakan,jangan guna gemini aku sedang tanya malah respon lambat mohon diperbaiki lapor aplikasi ini jika ta guna,0,UI/UX,negatif,0.9653106927871704,manual
f6b4ace0-6b54-41fe-aa81-1191db78b1ce,Sargius Salau,"update Gemini sangat jelek, saat bertanya Gemini sekarang loadingnya sangat lama tetapi jawabannya ngasal, saya tanya tentang film obsession 2026, Gemini mencapur adukkan timeline film dengan sembarang, lalu Gemini juga sekaran sering kali terjadi erorr saat bertanya sehingga pertanyaan tidak diproses",1,2026-07-28 07:14:07,41,update gemini sangat jelek saat bertanya gemini sekarang loadingnya sangat lama tetapi jawabannya ngasal saya tanya tentang film obsession gemini mencapur adukkan timeline film dengan sembarang lalu gemini juga sekaran sering kali terjadi erorr saat bertanya sehingga pertanyaan tidak diproses,update gemini sangat jelek tanya gemini sekarang loadingnya sangat lama jawab ngasal tanya film obsession gemini mencapur aduk timeline film sembarang lalu gemini sekar sering kali jadi erorr tanya tanya proses,3,Performa,negatif,0.995749831199646,manual
06dfbed4-28c5-4ddc-8a4c-44805c46d6ea,Unram Masrudin,sangat bermanfaat untuk kita semua,5,2026-07-28 07:13:44,5,sangat bermanfaat untuk kita semua,sangat manfaat kita semua,0,UI/UX,positif,0.9990065693855286,manual
9bcebc3f-31fd-458f-9d83-87a3e0f0f523,Feri Afriansyah,Gemini andalanku sebagai ghost writer...👍,5,2026-07-28 06:23:03,5,gemini andalanku sebagai ghost writer,gemini andal ghost writer,0,UI/UX,positif,0.996932864189148,manual
6aa77884-8d32-4d03-b6ee-c9bdeddd615c,Imamudin,sangat membantu mantapp.,4,2026-07-28 06:12:01,3,sangat membantu mantap,sangat bantu mantap,0,UI/UX,positif,0.9985476136207581,manual
dd25c48b-4114-48b8-8d86-44d2f68d1534,Ameerah Abbas,"bagi saya aplikasi Gemini bagus dan dapat di percaya, karena saya sudah lama menggunakan Aplikasi Gemini ini, dan saya ucapkan terima kasih banyak Gemini atas partisipasinya untuk membuat postingan di media sosial dan pelajaran dapat di akses untuk membuat pelajaran di sekolah semoga Teknisi dan engineer sehat selalu dalam lindungan Allah swt Aameen Ya Rabbal A'lameen 🤲",5,2026-07-28 06:09:06,57,bagi saya aplikasi gemini bagus dan dapat di percaya karena saya sudah lama menggunakan aplikasi gemini ini dan saya ucapkan terima kasih banyak gemini atas partisipasinya untuk membuat postingan di media sosial dan pelajaran dapat di akses untuk membuat pelajaran di sekolah semoga teknisi dan engineer sehat selalu dalam lindungan allah swt aameen ya rabbal a lameen,aplikasi gemini bagus percaya saya lama guna aplikasi gemini saya ucap terima kasih banyak gemini atas partisipasi buat postingan media sosial ajar dapat akses buat ajar di sekolah moga teknisi dan engineer sehat selalu lindung allah swt aameen rabbal a lameen,0,UI/UX,positif,0.9983478784561157,manual
a434d8fa-f98e-47b0-b611-3216d53c08d1,Faisalarifin,tidk bisa ngedit foto,4,2026-07-28 06:08:22,4,tidk bisa edit foto,tidk edit foto,0,UI/UX,negatif,0.8971907496452332,manual
b71c78fc-4cf6-4c80-b608-99a70f416638,Umar,sangat bagus dan banyak manfaatnya.,5,2026-07-28 05:59:37,5,sangat bagus dan banyak manfaatnya,sangat bagus banyak manfaat,0,UI/UX,positif,0.9984737038612366,manual
53ffd81d-04f8-4f57-8346-8082da221203,syamsiah abun,keren.. sangat bermanfaaat,5,2026-07-28 05:36:17,3,keren sangat bermanfat,keren sangat bermanfat,0,UI/UX,positif,0.9987934827804565,manual
eed6a0ac-4972-4355-bf52-8138be98730d,Raya Adzkia,aplikasinya bagus buat belajar,5,2026-07-28 05:31:44,4,aplikasinya bagus buat belajar,aplikasi bagus buat belajar,0,UI/UX,positif,0.9976133108139038,manual
239123a0-fcc5-4566-84d2-25d866effc26,Warnadi Nad,aplikasi nya mudah dan bagus,5,2026-07-28 04:36:53,5,aplikasi nya mudah dan bagus,aplikasi nya mudah bagus,0,UI/UX,positif,0.9981479644775391,manual
0ba38f17-3f57-4699-9011-80cf8078d728,D. Dlez,Bikin AI jangan tolol amat!!!!,4,2026-07-28 04:07:44,5,buat ai jangan tolol amat,buat ai jangan tolol,1,Kualitas Konten,negatif,0.791011393070221,manual
098077ee-2535-43a2-9ca8-41f7cf949285,prisilia yurintikaputri,Gemini aplikasi yg bagus dehh,1,2026-07-28 03:49:47,5,gemini aplikasi yang bagus deh,gemini aplikasi bagus deh,0,UI/UX,positif,0.997983455657959,manual
